year,variable,testing,horizon,forecast,fold
2024,lat_36_00450,-3.711739310440754,1.0,-3.5656776523206486,1
2024,lat_36_00900,-4.44226481911977,1.0,-3.314664801770781,1
2024,lat_36_01350,-4.077544439710155,1.0,-3.3586522923591566,1
2024,lat_36_01800,-3.5222565345618033,1.0,-3.2488146676540475,1
2024,lat_36_02250,-2.84738933434102,1.0,-3.9399384467831604,1
2024,lat_36_02700,-2.85846095690616,1.0,-4.257267750561831,1
2024,lat_36_03150,-3.991514232083815,1.0,-4.721663665505027,1
2024,lat_36_03600,-3.031866402768856,1.0,-4.9626954648342165,1
2024,lat_36_04050,-3.780850722879246,1.0,-4.069678550545203,1
2024,lat_36_04500,-4.208334314372091,1.0,-4.724467220273745,1
2024,lat_36_05849,-4.605170185988091,1.0,-5.68742715724513,1
2024,lat_36_06299,-4.605170185988091,1.0,-4.521834712115963,1
2024,lat_36_06749,-2.7419420806699843,1.0,-3.510335691911478,1
2024,lat_36_07199,-3.043781772032634,1.0,-3.4622371788460833,1
2024,lat_36_07649,-4.394155471828453,1.0,-4.139713940953203,1
2024,lat_36_08099,-4.591911314967573,1.0,-4.404073213495483,1
2024,lat_36_08549,-4.570638202445716,1.0,-3.8370881896039815,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.7357146091508735,1
2024,lat_36_09449,-4.131525879912678,1.0,-4.7652053734757995,1
2024,lat_36_09899,-2.83589196644073,1.0,-4.412053979476875,1
2024,lat_36_10349,-1.4747877520406367,1.0,-2.790789648771413,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.3086468763125936,1
2024,lat_36_11249,-2.8035553859912135,1.0,-3.1695080597019647,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.258740744892092,1
2024,lat_36_12148,-4.329941574607597,1.0,-4.393412752944968,1
2024,lat_36_12598,-3.852776147384812,1.0,-4.274510677285461,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.263552314479727,1
2024,lat_36_13498,-3.9919892525283913,1.0,-4.1312036517153965,1
2024,lat_36_13948,-2.685241233885117,1.0,-2.8520928797568477,1
2024,lat_36_14398,-4.227818740555305,1.0,-4.434646755236454,1
2024,lat_36_14848,-3.824756992308279,1.0,-4.027566581564878,1
2024,lat_36_15298,-4.380598550103056,1.0,-4.02451734573572,1
2024,lat_36_15748,-4.411102366634724,1.0,-4.398706314478031,1
2024,lat_36_16198,-3.303133866835818,1.0,-3.339031667857138,1
2024,lat_36_16648,-4.2114487718641005,1.0,-3.6235413815340918,1
2024,lat_36_17098,-2.691602217950635,1.0,-5.1396073900967645,1
2024,lat_36_17547,-2.2734157318248305,1.0,-6.020492357335723,1
2024,lat_36_17997,-2.5639070702915387,1.0,-3.312245507762313,1
2024,lat_36_18447,-2.811001066084425,1.0,-1.6287686393048662,1
2024,lat_36_19347,-4.605170185988091,1.0,-4.102372043195902,1
2024,lat_36_19797,-3.6186460157600684,1.0,-4.28948033227655,1
2024,lat_36_20247,-2.907751798956203,1.0,-3.6901931704935635,1
2024,lat_36_20697,-1.3474389141433085,1.0,-2.723326187739392,1
2024,lat_36_21147,-2.446187478147792,1.0,-2.432520639560729,1
2024,lat_36_21597,-2.579224468070338,1.0,-1.5497425891759853,1
2023,lat_36_00450,-4.323167861868939,1.0,-2.993652274843968,2
2024,lat_36_00450,-3.711739310440754,2.0,-3.094425194193853,2
2023,lat_36_00900,-4.573138023868477,1.0,-2.2744877305466624,2
2024,lat_36_00900,-4.44226481911977,2.0,-2.3612171103047968,2
2023,lat_36_01350,-4.20897568437331,1.0,-2.0793245780235727,2
2024,lat_36_01350,-4.077544439710155,2.0,-2.203557762278523,2
2023,lat_36_01800,-3.3867927094275285,1.0,-1.4677117986744654,2
2024,lat_36_01800,-3.5222565345618033,2.0,-1.5010689330732787,2
2023,lat_36_02250,-4.585847695320484,1.0,-1.8619377851748895,2
2024,lat_36_02250,-2.84738933434102,2.0,-1.8503398780249642,2
2023,lat_36_02700,-4.605170185988091,1.0,-2.3434898693541433,2
2024,lat_36_02700,-2.85846095690616,2.0,-2.3086081690591067,2
2023,lat_36_03150,-4.44664592862927,1.0,-2.8618647519370493,2
2024,lat_36_03150,-3.991514232083815,2.0,-2.797250107726486,2
2023,lat_36_03600,-4.605170185988091,1.0,-3.2170977500137776,2
2024,lat_36_03600,-3.031866402768856,2.0,-3.3534194371612815,2
2023,lat_36_04050,-4.540138530175832,1.0,-2.4086213355729504,2
2024,lat_36_04050,-3.780850722879246,2.0,-2.596908872336621,2
2023,lat_36_04500,-4.605170185988091,1.0,-4.814525991351587,2
2024,lat_36_04500,-4.208334314372091,2.0,-4.9838680705912,2
2023,lat_36_05849,-4.605170185988091,1.0,-4.203250282695554,2
2024,lat_36_05849,-4.605170185988091,2.0,-4.203693928860011,2
2023,lat_36_06299,-4.605170185988091,1.0,-3.7692317169271967,2
2024,lat_36_06299,-4.605170185988091,2.0,-4.120920050988993,2
2023,lat_36_06749,-2.479431492930742,1.0,-2.3958390360378363,2
2024,lat_36_06749,-2.7419420806699843,2.0,-2.571197420631272,2
2023,lat_36_07199,-2.8772808027163093,1.0,-2.214044385979555,2
2024,lat_36_07199,-3.043781772032634,2.0,-2.4115679893271245,2
2023,lat_36_07649,-4.442082308595242,1.0,-2.0892017336242152,2
2024,lat_36_07649,-4.394155471828453,2.0,-2.2940666312019555,2
2023,lat_36_08099,-4.504645830575255,1.0,-1.998969472795811,2
2024,lat_36_08099,-4.591911314967573,2.0,-2.1778685425218796,2
2023,lat_36_08549,-4.290162188035178,1.0,-1.5445335930615123,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.7059716359743158,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.4900472807736946,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.659657695892587,2
